frame,x1,y1,w,h,score
1,151.3302936401911,255.47130086122834,80.38923522997257,52.02284409313013,0.9890527129173279
2,151.89297421262322,260.13721365916,78.08495326559955,50.36475318171988,0.9872716069221497
3,153.74902116800172,264.6978997852079,75.9204223956391,49.64467662106324,0.9853997826576233
4,152.6188889817642,267.90641629282527,73.26303557454547,48.6779829410341,0.9864391088485718
5,152.42868476612023,271.70572774573486,73.04729690934987,46.505592695291426,0.9853652119636536
6,151.10319749801332,273.43954949727316,73.24102145745597,44.05559303800363,0.9928092956542969
7,153.41743211926175,273.2042878203845,71.64745421245134,43.45880957704845,0.9884273409843445
8,152.72090623677013,272.1267913476445,70.5027818536148,44.290135828730186,0.9912757873535156
9,155.28975175685554,274.58948488333397,68.75823740451645,43.84629234457596,0.99482661485672
10,153.52915356761963,275.97409779201314,68.75801294289191,42.504472199038545,0.9915525317192078
11,151.79980696450536,276.05117608794046,70.19421642605496,41.2851980774867,0.98313969373703
12,151.31028217193546,276.60601733485186,71.70762132290119,40.04523355808211,0.9848277568817139
13,154.14262651255288,275.95327426832574,71.56219727080253,40.0611224742996,0.9898905754089355
14,156.44680149900617,274.29464782403426,71.3579310415778,40.20894405459676,0.979677140712738
15,153.7244595018021,271.69755354994345,73.04398994848022,40.40517288827258,0.9808951020240784
16,153.68979040183063,271.9514604351016,72.4788745771454,40.65883997882847,0.9933045506477356
17,152.52081195363846,272.37509236608145,72.30559341785698,40.64147065477838,0.9860596060752869
18,152.741769098796,271.8180240323788,72.3419406368921,41.11223339361881,0.9812161326408386
19,154.00304984569772,271.92919943045035,71.51608335805147,41.404943005682775,0.992245614528656
20,151.38747305362267,271.15586664689096,71.23622131066104,42.03311766285063,0.9793089628219604
21,152.9440858567933,271.00055772280876,70.40913354677771,42.56937673647481,0.9947255253791809
22,153.82728864621907,271.3021887575393,70.33987997940434,42.84753305895623,0.9942495822906494
23,153.82526631474735,271.74498057616836,70.96826089355838,43.33292997129797,0.995465874671936
24,151.81871273384724,272.45820836205473,70.76153784412394,43.840451418578425,0.9905766248703003
25,152.57406127138466,277.3920365470672,69.93610171538693,44.0295403157218,0.982651948928833
26,151.15521523213357,281.7520817332711,70.24958205188598,43.656356717187194,0.9851411581039429
