frame,x1,y1,w,h,score,ms
119,72.71,305.78,94.76,40.93,0.9993,27.0
120,73.46,305.19,94.78,40.01,0.9994,27.0
121,72.24,304.38,94.28,39.41,0.9992,27.1
122,72.73,303.17,92.91,39.5,0.9996,27.9
123,72.45,301.66,91.06,40.0,0.9994,27.3
124,73.18,299.71,90.13,39.99,0.9989,27.6
125,70.92,298.2,89.66,39.78,0.9996,26.5
126,69.88,296.61,89.23,39.17,0.9995,27.4
127,72.0,295.22,87.74,39.05,0.9995,26.4
128,70.55,294.33,87.17,38.56,0.9996,27.4
129,70.01,293.16,86.58,37.84,0.9997,26.3
130,71.57,291.76,85.4,37.14,0.9993,27.8
131,70.53,291.2,84.48,36.67,0.9996,27.0
132,71.8,290.46,84.11,36.09,0.9993,27.5
133,71.95,288.62,83.08,35.87,0.9984,26.9
134,71.51,286.61,83.52,35.09,0.9978,28.1
135,73.74,286.16,83.54,34.48,0.9973,27.5
136,73.38,287.07,82.81,33.99,0.9945,28.4
137,72.94,288.11,81.91,33.69,0.9946,26.8
138,72.75,288.35,81.6,33.43,0.9956,28.0
139,73.26,288.16,81.4,33.05,0.993,27.3
140,72.75,287.53,80.94,33.02,0.994,27.8
141,71.28,286.86,80.27,32.78,0.9933,27.3
142,69.76,286.28,79.86,32.17,0.998,28.0
143,69.13,285.75,78.94,32.22,0.9986,27.1
144,67.02,285.42,77.92,32.24,0.9994,27.6
145,69.72,282.83,76.12,32.75,0.9943,27.3
146,69.33,276.6,75.96,32.46,0.9982,27.8
147,71.03,275.02,75.49,32.55,0.9868,27.2
148,70.87,273.61,75.68,32.26,0.9929,27.4
149,70.76,271.58,74.52,32.62,0.9921,27.0
150,70.4,266.66,73.69,32.53,0.9949,27.5
151,71.58,266.17,73.68,32.36,0.9893,27.5
152,74.26,265.2,74.61,31.77,0.9728,27.8
153,71.68,263.67,73.64,32.04,0.9881,27.4
154,70.84,262.93,72.86,31.56,0.9906,27.3
155,71.82,262.29,72.68,31.35,0.991,27.0
156,72.41,261.67,73.02,31.13,0.9645,27.5
157,72.58,260.97,74.71,30.68,0.9896,27.0
158,72.91,261.1,75.86,30.11,0.9963,27.4
159,73.37,261.28,76.66,29.92,0.9975,27.4
160,72.14,262.26,76.16,29.71,0.9917,27.3
161,72.72,262.86,75.62,29.83,0.9951,27.4
162,73.8,263.33,77.02,29.42,0.9943,27.8
163,70.77,264.06,77.31,28.93,0.9919,27.5
164,69.45,265.57,76.73,29.07,0.9883,27.5
165,68.6,266.5,75.6,29.59,0.9851,27.5
166,66.82,267.24,75.22,29.75,0.9947,26.8
167,68.7,267.74,74.17,29.94,0.9962,27.6
168,68.64,268.63,74.55,29.86,0.9951,27.2
169,67.35,268.8,75.55,29.67,0.9954,27.5
170,67.03,269.28,76.03,29.72,0.9934,26.8
171,66.38,269.09,77.35,29.9,0.9869,27.8
172,67.33,268.26,79.06,29.88,0.9642,26.8
173,66.83,268.66,78.91,29.8,0.9835,27.8
174,65.65,268.36,77.62,30.13,0.9932,26.8
175,65.66,268.89,76.13,30.46,0.9919,27.5
176,65.54,268.7,75.74,30.34,0.9864,26.1
177,66.32,268.62,75.92,30.38,0.9776,27.7
178,66.21,267.84,77.23,30.36,0.9772,26.9
179,68.62,266.25,78.04,30.19,0.9546,28.2
180,68.94,266.08,82.35,27.89,0.9719,27.1
181,69.72,265.52,85.34,26.55,0.9759,27.6
182,69.97,265.46,86.38,25.53,0.9939,26.5
183,69.8,265.49,85.49,25.12,0.9968,27.5
184,70.57,265.97,85.06,24.81,0.9969,27.6
185,68.57,266.03,84.44,24.64,0.9949,27.2
186,67.93,265.4,84.45,24.28,0.9956,27.0
187,68.4,263.9,86.12,24.03,0.992,27.2
188,70.79,262.31,86.7,24.11,0.9771,27.5
189,71.42,262.11,85.94,24.43,0.9753,27.1
190,72.47,262.18,85.35,24.77,0.9834,27.3
191,71.29,261.57,84.95,24.57,0.9952,26.9
192,69.91,260.5,85.24,24.16,0.9888,27.6
193,69.58,259.32,85.46,24.04,0.9866,26.8
194,68.86,259.08,85.16,24.33,0.9937,27.4
195,68.23,258.72,84.82,24.75,0.9929,26.3
196,67.21,258.27,84.51,24.67,0.9955,27.9
197,67.84,257.47,84.91,24.65,0.9976,26.8
