frame,x,y,w,h,score,gallery_size,gallery_adds,gallery_winner
1,151.33029374899135,255.47130086054,80.38923501237208,52.022844094506816,0.9890527725219727,2,1,-1
2,151.27914514403295,261.8067630778071,78.13918347468316,50.92730924104791,0.9882376194000244,2,1,1
3,150.71229497680176,264.07350730632464,77.78549592686862,50.77741475669961,0.9802250862121582,2,1,1
4,150.61585902152882,269.1956342526437,76.96509865903212,50.67192027260526,0.9900904297828674,2,1,1
5,148.51678422626006,272.2753627290758,77.7866046344571,49.520834891193715,0.983041524887085,2,1,1
6,147.9260654754585,274.0259782879772,79.0089114797734,48.623711217707246,0.9933056831359863,2,1,1
7,151.73113033921078,274.3152198939932,78.69992365815777,48.89077318181681,0.9888368844985962,2,1,1
8,153.05072121845998,270.32168417044915,77.40563701011928,51.10368996040442,0.9898681640625,2,1,1
9,150.0164866643265,273.14876833307244,77.15462965226759,50.13612185618075,0.9927297830581665,2,1,1
10,149.40362429027596,276.43267436615173,78.20869676753126,48.90428669827415,0.9822471141815186,2,1,1
11,148.76913987897524,276.8531880866817,78.62335650382836,48.59684107635127,0.9773724675178528,2,1,1
12,150.44031062740973,277.6507471458886,78.04632353192494,48.45642555760584,0.9898872971534729,2,1,1
13,152.9090918353812,273.361457127431,77.55172940105483,49.59561874852463,0.9815289974212646,2,1,1
14,152.38195463506815,271.2473492563101,81.49702623927357,45.46191311769374,0.9954429864883423,2,1,1
15,153.00197048843,270.89439323252617,81.85143416314648,46.422206747195695,0.9707999229431152,2,1,1
16,148.98898591270273,272.8996619036376,80.59969364258413,46.83690906497391,0.9723095893859863,2,1,1
17,151.4428155834633,271.49891174067824,86.03835178286016,43.49456456466726,0.9970327019691467,2,1,1
18,147.4094484393443,272.71450399844593,83.11961925288331,45.075398530645586,0.9859027862548828,2,1,1
19,149.27729014408612,272.66365239054176,80.58248017015248,46.790149283509756,0.9899908304214478,2,1,1
20,148.5041232961878,272.93956014376414,88.30250355108468,42.8050984658378,0.9985936880111694,2,1,1
21,147.24021854836747,273.03559174967285,91.74395511817639,40.691318622667424,0.999331533908844,2,1,1
22,146.39963681005787,273.3924322527185,93.52986615936365,39.42693091769743,0.999146580696106,2,1,1
23,144.46890952751625,274.9896885848419,94.141040087807,38.47875147621735,0.9996367692947388,2,1,1
24,143.03931648183084,276.7552171323586,94.34748722284314,38.14068582946653,0.9992572069168091,2,1,1
25,142.71703814373242,279.9721523068668,94.80537287878961,37.781795434629245,0.9983036518096924,2,1,1
26,142.55231333056196,283.28939502814836,93.75391564960384,37.55339415361809,0.9980932474136353,2,1,1
27,142.57635249007836,286.4640919872089,93.09110427930608,37.238469353426,0.9990203976631165,2,1,1
28,143.16440645208263,288.93622908368314,93.15175456047714,36.64033701971128,0.9985558986663818,2,1,1
29,140.81882532945525,290.8132180466389,93.36329759785926,36.72146656578862,0.9993975758552551,2,1,1
30,141.45165506556543,292.2997775926732,92.39714727819079,36.49477578882077,0.9995173215866089,2,1,1
31,139.47530757056927,291.93796631040044,93.6522368888169,36.61965856343107,0.9996182918548584,2,1,1
32,141.66235409723072,292.5310978423476,93.40255136420029,36.21102233686144,0.9997036457061768,2,1,1
33,141.65638422092965,295.7005620742692,94.3242394270336,35.250502446757025,0.9992492198944092,2,1,1
34,138.64396743399647,298.17566765837745,95.70946007626722,34.61173752583405,0.9991744756698608,2,1,1
35,136.64561576547018,300.46152594144246,96.11117937213618,34.69582554176947,0.9996258020401001,2,1,-1
36,138.29290843157946,299.4218017998574,95.66661960250008,35.30512447231269,0.9994771480560303,2,1,-1
37,134.53641733938736,300.0497234797681,96.7662982890487,35.98114015830493,0.9993902444839478,2,1,-1
38,135.76147258844637,298.8050157200595,96.29078528725961,36.38962509601844,0.9995286464691162,2,1,-1
39,137.44338938415808,296.0952987570581,96.71210290227435,36.6458213539883,0.9992921352386475,2,1,-1
40,133.12725860344204,293.03689798946596,97.7813914240578,37.33396749150064,0.9990736246109009,2,1,-1
41,144.35310933409355,289.22578505414015,97.73735161001707,37.00341825105543,0.9986321926116943,2,1,1
42,142.8399320800778,290.61627850244025,100.00580720607857,35.388359488616445,0.9986634254455566,2,1,1
43,135.5087387120936,292.28794778862164,101.51645363769919,34.640264808658095,0.9987443685531616,2,1,1
44,129.6251622283975,292.64145045218015,100.11046842531384,35.725156858793966,0.9990804195404053,2,1,-1
45,128.9713451045975,295.9012140682628,98.61300286203786,37.10731919902004,0.9988031387329102,2,1,-1
46,130.65531127765854,306.2508175377011,96.7249251777229,37.42026205618893,0.9985113143920898,2,1,1
47,130.61372563168646,316.85401959869364,96.03997439031781,37.89614387579924,0.9994614124298096,2,1,-1
48,131.44775413546773,322.36101834615295,95.57998370829525,38.039861076186206,0.994469165802002,2,1,1
49,134.38310028504435,329.64348873835337,94.50601984917591,38.34826109981795,0.9995322823524475,2,1,1
50,132.03430479264927,333.2486430785698,93.0511243045066,38.868947816053335,0.9982998371124268,2,1,1
51,133.48121654451901,341.3282845841295,92.25220036969455,38.9740084848876,0.9996267557144165,3,2,1
52,133.45126435099786,346.2369460204732,91.54618886740909,39.285122845468955,0.9977872371673584,3,2,2
53,138.4342913677319,349.6581583677324,92.23611250315639,39.130497679856944,0.9993373155593872,3,2,2
54,137.11993975414515,354.4900364969154,94.34550543662769,38.052559072147794,0.9989372491836548,3,2,2
55,134.09478769567676,354.4891836481546,92.7128430011353,37.61811122014139,0.9994324445724487,3,2,2
56,136.81759761390086,357.2166690576447,91.31926365473595,37.052712639572555,0.9994248151779175,3,2,2
57,136.5293613029852,356.09408271988696,91.44603404798167,36.46981719368565,0.9996029138565063,3,2,2
58,135.02360754002288,354.2932565397537,91.04444023449942,36.339929411566075,0.9996564388275146,3,2,2
59,131.83414351819653,356.15235161383856,90.86839246829501,36.21524667978149,0.9997656345367432,3,2,-1
60,138.14667554138674,353.0517834645103,91.69541583296251,36.686929677552776,0.9998579025268555,3,2,2
61,136.13638254313997,353.24207808772456,91.75953628516285,36.40298595521313,0.9995378255844116,3,2,1
62,131.4346789441742,349.96883518493354,94.02140889695426,37.572978945466126,0.998910665512085,3,2,1
63,128.65240200301588,342.5246832756366,93.60379163476355,37.90758153082087,0.9995745420455933,3,2,1
64,128.57798660730197,341.5260203120747,94.2370305985271,38.36277454794603,0.999199628829956,3,2,1
65,127.63226996035414,338.8148073810048,95.48876380081633,37.80339436511663,0.9966548681259155,3,2,2
66,127.92422381194405,336.93070588575245,97.59898770702237,37.23068250477496,0.9982354044914246,3,2,2
67,127.96395469940222,337.90550467323743,96.67315154899273,36.737805465045554,0.9995753765106201,3,2,1
68,125.99841500944807,335.81088456739417,95.49664710754425,37.68879177383552,0.9988532066345215,3,2,-1
69,120.59077291687103,329.1838632784208,94.6363472425448,37.218566249234435,0.9970170259475708,3,2,-1
70,123.46582365811156,326.1633136429412,93.29123963651097,39.23759006765297,0.9929622411727905,3,2,1
71,116.44266427343439,322.45187297408654,102.25877130349464,37.13591489312927,0.978009819984436,3,2,2
72,113.01378903165481,324.67581751082474,106.1604573738285,36.8483188298356,0.975028932094574,3,2,2
