frame,x1,y1,w,h,score,ms
119,79.3,306.85,86.76,31.46,0.995,27.0
120,79.93,306.35,85.99,31.78,0.9985,27.4
121,78.45,304.74,84.58,31.75,0.9985,27.3
122,78.74,303.64,83.12,31.87,0.9992,27.3
123,80.8,301.97,81.71,32.18,0.9971,27.5
124,80.22,300.27,80.25,32.43,0.9992,27.4
125,78.9,299.83,79.58,31.88,0.9993,27.3
126,79.54,298.46,80.0,31.81,0.9977,26.5
127,77.03,296.75,78.9,31.27,0.999,27.3
128,76.69,295.46,78.25,31.19,0.9994,26.2
129,76.48,295.18,76.63,30.86,0.9995,27.9
130,70.74,294.56,76.86,30.16,0.9991,26.2
131,75.68,292.77,75.43,30.63,0.9968,27.7
132,78.18,292.13,74.15,31.16,0.9984,26.5
133,78.32,288.79,72.98,30.89,0.9965,27.5
134,77.96,287.58,73.51,30.37,0.9991,26.9
135,74.35,287.76,72.44,29.39,0.9984,28.1
136,79.13,287.05,71.74,29.14,0.9985,27.3
137,77.03,288.28,71.09,28.65,0.9968,28.1
138,77.59,289.32,69.36,28.62,0.9961,26.9
139,77.65,289.77,68.51,28.24,0.9963,27.5
140,78.63,289.52,67.87,27.65,0.9955,27.0
141,77.44,289.48,67.35,26.81,0.9983,28.4
142,77.66,288.43,67.81,26.13,0.9984,27.5
143,77.48,288.2,67.97,25.4,0.9978,27.7
144,76.67,287.3,67.59,24.74,0.9965,27.0
145,74.31,284.69,67.18,24.31,0.9918,27.7
146,76.95,278.83,64.96,24.59,0.9945,27.3
147,78.64,276.95,64.21,24.48,0.9918,28.0
148,79.61,274.33,63.66,24.29,0.9965,27.5
149,79.59,272.52,62.83,24.51,0.9933,27.7
150,77.92,270.26,62.52,24.29,0.9922,27.1
151,79.24,268.91,62.57,23.75,0.9855,27.9
152,77.0,266.68,63.0,22.94,0.9912,27.1
153,82.02,265.98,61.32,23.35,0.9932,28.3
154,82.92,264.99,59.52,23.5,0.9932,26.8
155,83.03,264.49,59.19,23.45,0.9895,27.8
156,83.81,263.05,57.83,23.31,0.9802,27.2
157,84.31,261.71,56.23,23.72,0.9797,27.5
158,85.16,261.64,55.48,23.39,0.9883,27.0
159,85.37,262.57,53.4,23.82,0.9858,27.3
160,84.85,263.01,51.9,23.83,0.9959,27.2
161,86.02,264.15,49.83,23.89,0.9947,27.6
162,85.48,265.05,49.83,23.09,0.9858,27.5
163,85.36,266.25,48.71,22.93,0.9857,27.5
164,84.24,267.41,48.28,22.06,0.9869,27.5
165,85.79,268.71,47.01,21.91,0.9878,27.4
166,84.91,269.45,46.8,21.3,0.9874,27.5
167,82.77,270.52,46.77,20.66,0.9875,27.1
168,83.74,271.14,45.2,20.38,0.9719,27.2
169,84.89,270.78,43.76,20.64,0.9892,26.6
170,84.05,270.53,42.66,20.89,0.9865,27.8
171,84.29,270.34,41.78,20.91,0.9431,26.6
172,83.94,270.45,41.04,20.93,0.9443,27.5
173,85.2,269.18,40.21,21.01,0.9259,26.6
174,86.68,268.28,37.76,22.95,0.9384,28.0
175,87.56,267.76,35.9,24.59,0.9809,27.0
176,88.06,267.1,34.73,25.35,0.9888,27.1
177,87.18,266.76,34.57,25.88,0.9771,26.6
178,86.46,265.89,34.51,26.39,0.9117,27.6
179,85.4,265.58,36.28,24.84,0.8119,26.9
180,85.32,264.78,35.64,25.59,0.858,28.1
181,83.77,264.81,38.57,23.56,0.6662,27.0
182,82.66,265.24,39.62,22.43,0.8954,27.9
183,83.52,264.17,38.91,22.56,0.954,27.1
184,82.83,264.83,38.79,22.09,0.9394,27.1
185,82.81,264.52,38.73,21.91,0.9602,26.8
186,83.42,264.03,38.45,21.9,0.9308,27.6
187,83.49,262.97,38.85,21.76,0.9066,27.5
188,82.96,261.7,38.95,21.67,0.9083,27.6
189,83.63,258.83,37.49,23.44,0.9102,27.4
190,83.91,259.07,36.33,24.46,0.905,28.1
191,83.78,259.9,36.05,25.21,0.9107,27.5
192,83.95,256.63,34.97,26.12,0.9578,28.0
193,84.17,256.07,34.81,26.72,0.9548,27.3
194,83.71,256.1,35.06,27.24,0.9437,27.8
195,84.29,256.39,35.37,27.45,0.9261,27.4
196,83.29,255.52,35.75,27.75,0.9151,27.9
197,83.15,255.35,36.08,28.16,0.9338,27.2
198,83.8,252.49,35.95,28.09,0.8611,27.6
199,82.76,252.27,35.72,27.84,0.9315,27.1
200,81.91,253.08,35.94,27.34,0.906,27.1
201,81.18,253.07,36.45,27.3,0.8096,27.1
202,81.49,251.91,36.82,27.53,0.9565,27.4
203,80.99,249.48,37.78,26.48,0.9097,27.4
204,79.48,250.38,39.38,25.8,0.9022,27.1
205,75.86,250.74,39.86,25.44,0.9202,27.4
206,75.4,251.34,40.45,25.39,0.7786,26.5
207,74.34,250.83,41.87,25.01,0.9599,27.3
208,76.55,249.94,42.4,25.44,0.8959,26.7
209,77.89,248.41,41.38,27.48,0.9446,27.5
210,77.88,248.72,41.34,28.0,0.9058,26.5
211,78.46,247.44,40.91,28.41,0.884,27.3
212,78.63,247.95,42.09,27.46,0.7805,26.6
213,79.46,245.51,40.7,28.36,0.8405,28.1
214,79.28,247.36,40.97,27.63,0.7092,27.0
215,79.07,248.69,41.28,27.04,0.7939,27.9
216,77.81,248.61,42.01,26.58,0.9455,26.9
217,78.23,248.36,42.23,26.83,0.9084,27.1
218,78.46,248.54,42.66,27.1,0.9485,26.7
219,77.67,248.48,42.95,27.77,0.9475,27.8
220,78.11,249.05,43.4,27.94,0.8833,27.1
