epoch,loss
1,3.0916547775268555
2,2.1270570755004883
3,1.1416043043136597
4,0.8954510688781738
5,0.7934359312057495
6,0.9051759243011475
7,0.6099023818969727
8,0.5474854111671448
9,0.5105139017105103
10,0.4979381859302521
11,0.4490331709384918
12,0.41886043548583984
13,0.39381587505340576
14,0.4070780873298645
15,0.3715150058269501
16,0.34566423296928406
17,0.3163328766822815
18,0.3291590213775635
19,0.38468092679977417
20,0.29052451252937317
21,0.31786835193634033
22,0.28090348839759827
23,0.2737293541431427
24,0.27222901582717896
25,0.2634185254573822
26,0.25204646587371826
27,0.24790416657924652
28,0.23195576667785645
29,0.23411953449249268
30,0.2224178910255432
31,0.2289067953824997
32,0.21807149052619934
33,0.1996801644563675
34,0.20396575331687927
35,0.2111319601535797
36,0.17242956161499023
37,0.17125239968299866
38,0.16731953620910645
39,0.16328121721744537
40,0.18150785565376282
41,0.18340790271759033
42,0.1966060996055603
43,0.2061130702495575
44,0.19017285108566284
45,0.17820954322814941
46,0.20604753494262695
47,0.21688759326934814
48,0.1768818348646164
49,0.18771222233772278
50,0.19972985982894897
51,0.18652722239494324
52,0.17179855704307556
53,0.15544873476028442
54,0.1701163649559021
55,0.1899070143699646
56,0.1938997358083725
57,0.2130032479763031
58,0.22886687517166138
59,0.2033686339855194
60,0.20593029260635376
61,0.19715002179145813
62,0.18079137802124023
63,0.17625059187412262
64,0.17179735004901886
65,0.19447346031665802
66,0.15349847078323364
67,0.16056084632873535
68,0.13837414979934692
69,0.12356770038604736
70,0.1272602677345276
71,0.13572756946086884
72,0.12083560228347778
73,0.11558978259563446
74,0.11350059509277344
75,0.1182074099779129
76,0.10638435184955597
77,0.11069677770137787
78,0.09561353921890259
79,0.11487986892461777
80,0.1114787757396698
