epoch,loss
1,2.0086264610290527
2,3.7474379539489746
3,1.496424913406372
4,1.0359421968460083
5,0.9356958866119385
6,0.8239327073097229
7,0.7379249334335327
8,0.6798702478408813
9,0.6344515085220337
10,0.5830576419830322
11,0.5428210496902466
12,0.5037355422973633
13,0.46795839071273804
14,0.44911906123161316
15,0.45562517642974854
16,0.4117864966392517
17,0.40153685212135315
18,0.37297436594963074
19,0.35336625576019287
20,0.34214282035827637
21,0.32660728693008423
22,0.31149181723594666
23,0.2953663170337677
24,0.30102017521858215
25,0.299861878156662
26,0.2867915630340576
27,0.26058751344680786
28,0.2641443610191345
29,0.24356167018413544
30,0.2304006963968277
31,0.21942728757858276
32,0.21725519001483917
33,0.20683470368385315
34,0.20780029892921448
35,0.18764542043209076
36,0.18261496722698212
37,0.18599402904510498
38,0.18956029415130615
39,0.17839844524860382
40,0.18604809045791626
41,0.17038293182849884
42,0.16243964433670044
43,0.15469349920749664
44,0.16568662226200104
45,0.13927632570266724
46,0.16253690421581268
47,0.13309840857982635
48,0.14846882224082947
49,0.12467436492443085
50,0.12616071105003357
51,0.14135655760765076
52,0.13475750386714935
53,0.1383720338344574
54,0.1210113987326622
55,0.11253806203603745
56,0.10191190987825394
57,0.10501281917095184
58,0.0984540581703186
59,0.09774862974882126
60,0.09230969101190567
61,0.09428118914365768
62,0.09535661339759827
63,0.08614297211170197
64,0.09046891331672668
65,0.09406167268753052
66,0.08670634031295776
67,0.08578403294086456
68,0.09645325690507889
69,0.08092603087425232
70,0.07363741844892502
71,0.09527719765901566
72,0.07859887927770615
73,0.07643308490514755
74,0.08682401478290558
75,0.06971421837806702
76,0.10275287926197052
77,0.08570609241724014
78,0.07397647202014923
79,0.10892210155725479
80,0.07719068974256516
